Field,lower.taxon,upper.taxon,guild1,guild2,interaction_type,weight
541,pl1,Lepi_1,plant,herbivore,herbivory,4
541,pl1,po158,plant,pollinator,pollination,1
541,pl1,po2,plant,pollinator,pollination,4
541,pl1,po34,plant,pollinator,pollination,1
541,pl1,po39,plant,pollinator,pollination,1
541,pl1,po47,plant,pollinator,pollination,1
541,pl1,po58,plant,pollinator,pollination,1
541,pl1,po73,plant,pollinator,pollination,1
541,pl2,Lepi_18,plant,herbivore,herbivory,1
541,pl2,Lepi_20,plant,herbivore,herbivory,1
541,pl5,Lepi_7,plant,herbivore,herbivory,1
541,pl6,po13,plant,pollinator,pollination,13
541,pl6,po2,plant,pollinator,pollination,10
541,pl6,po34,plant,pollinator,pollination,6
541,pl6,po37,plant,pollinator,pollination,2
541,pl6,po39,plant,pollinator,pollination,1
541,pl6,po42,plant,pollinator,pollination,1
541,pl6,po90,plant,pollinator,pollination,2
541,pl9,Lepi_14,plant,herbivore,herbivory,5
541,pl9,po53,plant,pollinator,pollination,1
542,Lepi_1,Hym4,herbivore,parasitoid,parasitoidism,1
542,Lepi_14,Hym3,herbivore,parasitoid,parasitoidism,3
542,Lepi_9,Hym5,herbivore,parasitoid,parasitoidism,1
542,pl1,Lepi_1,plant,herbivore,herbivory,2
542,pl1,po2,plant,pollinator,pollination,5
542,pl10,po13,plant,pollinator,pollination,1
542,pl10,po34,plant,pollinator,pollination,2
542,pl10,po82,plant,pollinator,pollination,1
542,pl10,po88,plant,pollinator,pollination,1
542,pl11,Lepi_10,plant,herbivore,herbivory,5
542,pl11,po19,plant,pollinator,pollination,3
542,pl11,po2,plant,pollinator,pollination,1
542,pl11,po37,plant,pollinator,pollination,1
542,pl11,po42,plant,pollinator,pollination,1
542,pl11,po82,plant,pollinator,pollination,1
542,pl15,po42,plant,pollinator,pollination,1
542,pl19,Lepi_9,plant,herbivore,herbivory,1
542,pl20,po18,plant,pollinator,pollination,3
542,pl20,po2,plant,pollinator,pollination,6
542,pl6,po2,plant,pollinator,pollination,1
