Field,lower.taxon,upper.taxon,guild1,guild2,interaction_type,weight
548,pl14,Lepi_16,plant,herbivore,herbivory,1
548,pl16,po13,plant,pollinator,pollination,7
548,pl16,po34,plant,pollinator,pollination,1
548,pl16,po44,plant,pollinator,pollination,1
548,pl16,po47,plant,pollinator,pollination,1
548,pl16,po48,plant,pollinator,pollination,1
548,pl16,po56,plant,pollinator,pollination,3
548,pl16,po78,plant,pollinator,pollination,3
548,pl16,po80,plant,pollinator,pollination,7
548,pl16,po81,plant,pollinator,pollination,2
548,pl18,po47,plant,pollinator,pollination,1
548,pl2,po47,plant,pollinator,pollination,1
548,pl20,Lepi_17,plant,herbivore,herbivory,1
548,pl25,po42,plant,pollinator,pollination,1
548,pl27,po47,plant,pollinator,pollination,1
548,pl28,po68,plant,pollinator,pollination,1
548,pl5,Lepi_17,plant,herbivore,herbivory,2
548,pl5,po34,plant,pollinator,pollination,10
548,pl5,po76,plant,pollinator,pollination,2
548,pl6,po13,plant,pollinator,pollination,4
548,pl6,po78,plant,pollinator,pollination,1
548,pl6,po81,plant,pollinator,pollination,1
548,pl8,po80,plant,pollinator,pollination,1
548,pl8,po82,plant,pollinator,pollination,1
548,pl9,Lepi_14,plant,herbivore,herbivory,28
548,pl9,po34,plant,pollinator,pollination,1
549,Lepi_1,Hym1,herbivore,parasitoid,parasitoidism,1
549,Lepi_9,Hym10,herbivore,parasitoid,parasitoidism,1
549,pl1,Lepi_1,plant,herbivore,herbivory,2
549,pl1,Lepi_15,plant,herbivore,herbivory,1
549,pl1,Lepi_17,plant,herbivore,herbivory,1
549,pl1,Lepi_18,plant,herbivore,herbivory,1
549,pl1,po2,plant,pollinator,pollination,1
549,pl1,po34,plant,pollinator,pollination,1
549,pl1,po58,plant,pollinator,pollination,3
549,pl10,po13,plant,pollinator,pollination,1
549,pl11,po18,plant,pollinator,pollination,1
549,pl11,po19,plant,pollinator,pollination,2
549,pl11,po2,plant,pollinator,pollination,1
549,pl11,po25,plant,pollinator,pollination,3
549,pl11,po34,plant,pollinator,pollination,1
549,pl11,po37,plant,pollinator,pollination,3
549,pl11,po42,plant,pollinator,pollination,1
549,pl11,po45,plant,pollinator,pollination,3
549,pl11,po47,plant,pollinator,pollination,1
549,pl11,po78,plant,pollinator,pollination,3
549,pl2,Lepi_1,plant,herbivore,herbivory,1
549,pl2,Lepi_17,plant,herbivore,herbivory,1
549,pl2,Lepi_22,plant,herbivore,herbivory,2
549,pl2,Lepi_9,plant,herbivore,herbivory,2
549,pl36,Lepi_6,plant,herbivore,herbivory,1
549,pl4,Lepi_9,plant,herbivore,herbivory,2
549,pl5,po13,plant,pollinator,pollination,2
549,pl5,po34,plant,pollinator,pollination,1
549,pl5,po82,plant,pollinator,pollination,1
550,Lepi_16,Hym10,herbivore,parasitoid,parasitoidism,1
550,Lepi_8,Diptera,herbivore,parasitoid,parasitoidism,1
550,Lepi_9,Hym5,herbivore,parasitoid,parasitoidism,1
550,pl1,Lepi_1,plant,herbivore,herbivory,1
550,pl1,Lepi_17,plant,herbivore,herbivory,1
550,pl1,Lepi_22,plant,herbivore,herbivory,1
550,pl1,po2,plant,pollinator,pollination,3
550,pl1,po58,plant,pollinator,pollination,1
550,pl14,Lepi_16,plant,herbivore,herbivory,23
550,pl2,Lepi_23,plant,herbivore,herbivory,1
550,pl21,Lepi_22,plant,herbivore,herbivory,1
550,pl4,Lepi_9,plant,herbivore,herbivory,1
550,pl5,Lepi_15,plant,herbivore,herbivory,1
550,pl5,Lepi_19,plant,herbivore,herbivory,2
550,pl5,Lepi_8,plant,herbivore,herbivory,2
550,pl6,po18,plant,pollinator,pollination,1
550,pl6,po2,plant,pollinator,pollination,40
550,pl6,po34,plant,pollinator,pollination,63
550,pl6,po36,plant,pollinator,pollination,4
550,pl6,po39,plant,pollinator,pollination,9
550,pl6,po42,plant,pollinator,pollination,9
550,pl6,po47,plant,pollinator,pollination,3
550,pl6,po7,plant,pollinator,pollination,2
550,pl6,po76,plant,pollinator,pollination,5
550,pl6,po78,plant,pollinator,pollination,3
550,pl6,po79,plant,pollinator,pollination,9
550,pl6,po80,plant,pollinator,pollination,2
